Thoi_Gian,Von_Giai_Ngan_Thang_Nghin_Ty_VND,Von_Giai_Ngan_Luy_Ke_Nghin_Ty_VND,Ke_Hoach_Thu_Tuong_Giao_Nghin_Ty_VND,Ty_Le_Giai_Ngan_Luy_Ke_pct_KH,Tang_Truong_Cung_Ky_YoY_pct
2025-01,25.1,25.1,677.3,3.71,4.83
2025-02,21.8,46.9,677.3,6.92,5.14
2025-03,38.6,85.5,677.3,12.62,6.08
2025-04,35.4,120.9,677.3,17.85,6.42
2025-05,42.1,163.0,677.3,24.07,6.13
2025-06,55.8,218.8,677.3,32.3,7.04
2025-07,48.3,267.1,677.3,39.44,6.99
2025-08,52.6,319.7,677.3,47.2,7.78
2025-09,58.9,378.6,677.3,55.9,8.27
2025-10,62.4,441.0,677.3,65.11,8.82
2025-11,71.2,512.2,677.3,75.62,9.16
2025-12,83.5,595.7,677.3,87.95,9.65
2026-01,28.4,28.4,720.0,3.94,13.15
2026-02,24.5,52.9,720.0,7.35,12.39
2026-03,43.1,96.0,720.0,13.33,11.66
2026-04,39.8,135.8,720.0,18.86,12.43
2026-05,46.7,182.5,720.0,25.35,10.93
2026-06,61.2,243.7,720.0,33.85,9.68
2026-07,54.3,298.0,720.0,41.39,12.42
2026-08,58.7,356.7,720.0,49.54,11.6
