Thoi_Gian,Von_Dau_Tu_Tu_Nhan_Thang_Nghin_Ty_VND,Von_Dau_Tu_Tu_Nhan_Luy_Ke_Nghin_Ty_VND,Tang_Truong_YoY_pct,Giai_Ngan_Dai_Du_An_Ha_Tang_Nghin_Ty_VND,Chi_So_Niem_Tin_Kinh_Doanh_BCI
2025-01,115.4,115.4,6.76,32.31,51.2
2025-02,98.2,213.6,6.48,27.5,51.8
2025-03,132.5,346.1,6.8,37.1,52.5
2025-04,128.7,474.8,7.08,36.04,53.1
2025-05,135.2,610.0,7.48,37.86,52.8
2025-06,154.6,764.6,7.44,43.29,53.6
2025-07,142.1,906.7,7.44,39.79,54.2
2025-08,148.9,1055.6,7.96,41.69,54.0
2025-09,158.4,1214.0,7.96,44.35,54.8
2025-10,162.8,1376.8,8.32,45.58,55.3
2025-11,175.4,1552.2,8.76,49.11,56.1
2025-12,192.1,1744.3,8.44,53.79,56.8
2026-01,126.8,126.8,8.92,35.5,55.2
2026-02,108.5,235.3,9.0,30.38,55.8
2026-03,147.2,382.5,9.48,41.22,56.5
2026-04,142.6,525.1,9.44,39.93,57.1
2026-05,151.3,676.4,9.92,42.36,57.4
2026-06,172.5,848.9,9.8,48.3,58.2
2026-07,158.9,1007.8,10.16,44.49,58.5
2026-08,166.4,1174.2,10.16,46.59,59.0
