Thoi_Gian,FDI_Dang_Ky_Thang_Trieu_USD,FDI_Dang_Ky_Luy_Ke_Trieu_USD,FDI_Giai_Ngan_Thang_Trieu_USD,FDI_Giai_Ngan_Luy_Ke_Trieu_USD,Tang_Truong_Giai_Ngan_YoY_pct
2025-01,2360,2360,1480,1480,7.5
2025-02,1920,4280,1320,2800,7.65
2025-03,2850,7130,1830,4630,7.8
2025-04,3120,10250,1650,6280,7.95
2025-05,2780,13030,1970,8250,8.1
2025-06,4210,17240,2490,10740,8.25
2025-07,2690,19930,1860,12600,8.4
2025-08,3050,22980,2040,14640,8.55
2025-09,3420,26400,2180,16820,8.7
2025-10,2980,29380,2010,18830,8.85
2025-11,3820,33200,2120,20950,9.0
2025-12,5400,38600,2250,23200,9.15
2026-01,2510,2510,1590,1590,7.43
2026-02,2140,4650,1410,3000,6.82
2026-03,3120,7770,1960,4960,7.1
2026-04,3350,11120,1780,6740,7.88
2026-05,2940,14060,2110,8850,7.11
2026-06,4480,18540,2680,11530,7.63
2026-07,2860,21400,2010,13540,8.06
2026-08,3210,24610,2210,15750,8.33
