Thoi_Gian,Tong_Xuat_Khau_Mil_USD,Xuat_Khau_FDI_Mil_USD,Ty_Trong_Xuat_Khau_FDI_pct,Tong_Nhap_Khau_Mil_USD,Nhap_Khau_FDI_Mil_USD,Ty_Trong_Nhap_Khau_FDI_pct,Can_Can_Thuong_Mai_FDI_Mil_USD,Can_Can_Thuong_Mai_Trong_Nuoc_Mil_USD,Spillover_Openness_Ratio
2025-01,33158.91759699999,23624.299085,71.25,30139.571350000002,19219.405116,63.77,4404.89,-1385.55,0.6769
2025-02,31109.320468,22720.642807,73.03,32659.28498,20785.119432,63.64,1935.52,-3485.49,0.6822
2025-03,38509.838411,27432.270974,71.23,36875.29687699999,22892.325587000003,62.08,4539.95,-2905.4,0.6676
2025-04,37445.441758,25790.263083,68.87,36868.753347000005,22389.098044,60.73,3401.17,-2824.48,0.6483
2025-05,39595.452429,30986.542120000002,78.26,39044.875356,28185.585928,72.19,2800.96,-2250.38,0.7524
2025-06,39524.463556,30884.274816,78.14,36662.641126,25874.210545,70.57,5010.06,-2148.24,0.745
2025-07,42287.635208,33341.208663000005,78.84,39998.519049,28713.401647,71.79,4627.81,-2338.69,0.7541
2025-08,43386.350257,34222.288169,78.88,39669.299926,28908.885018,72.87,5313.4,-1596.35,0.7601
2025-09,42670.310935999994,34014.832681,79.72,39824.423432999996,28907.76057,72.59,5107.07,-2261.18,0.7627
2025-10,42049.211814999995,33450.891887,79.55,39445.204961999996,28064.624285,71.15,5386.27,-2782.26,0.7548
2025-11,431009.53296000004,98241.68070300005,22.79,410319.71932000003,287517.781421,70.07,-189276.1,209965.91,0.4585
2025-12,44050.037263,34345.090334,77.97,44686.566349,30113.38852,67.39,4231.7,-4868.23,0.7264
2026-01,43302.753778000006,33676.627462,77.77,45238.037751,32064.00768,70.88,1612.62,-3547.9,0.7425
2026-02,33090.034032,26654.253808,80.55,34102.372898999995,24550.402904,71.99,2103.85,-3116.19,0.7621
2026-03,46435.724454,37441.055104,80.63,47112.55360100001,33666.425412,71.46,3774.63,-4451.46,0.7601
2026-04,45986.234529,36549.747011,79.48,49979.629138,35212.591636,70.45,1337.16,-5330.55,0.7478
2026-05,46929.345966,37878.256693,80.71,52141.009446000004,38965.965901,74.73,-1087.71,-4123.95,0.7757
2026-06,50787.246875,40783.392399,80.3,53431.722166,39237.628268,73.44,1545.76,-4190.24,0.7678
2026-07,53095.475046,42823.296514,80.65,56668.257917999996,42871.624808,75.65,-48.33,-3524.45,0.7807
2026-08,54794.764261,44295.914191,80.84,54907.979099,42093.184815,76.66,2202.73,-2315.94,0.7875
