Thoi_Gian,FDI_Che_Bien_Che_Tao_pct,FDI_Bat_Dong_San_pct,FDI_San_Xuat_Phan_Phoi_Dien_pct,FDI_Ban_Buon_Ban_Le_pct,FDI_Nganh_Khac_pct
2025-01,70.2,16.5,4.8,4.2,4.3
2025-02,69.4,16.9,5.1,4.4,4.2
2025-03,68.6,17.3,4.8,4.6,4.7
2025-04,70.2,17.7,5.1,4.2,2.8
2025-05,69.4,16.5,4.8,4.4,4.9
2025-06,68.6,16.9,5.1,4.6,4.8
2025-07,70.2,17.3,4.8,4.2,3.5
2025-08,69.4,17.7,5.1,4.4,3.4
2025-09,68.6,16.5,4.8,4.6,5.5
2025-10,70.2,16.9,5.1,4.2,3.6
2025-11,69.4,17.3,4.8,4.4,4.1
2025-12,68.6,17.7,5.1,4.6,4.0
2026-01,70.2,16.5,4.8,4.2,4.3
2026-02,69.4,16.9,5.1,4.4,4.2
2026-03,68.6,17.3,4.8,4.6,4.7
2026-04,70.2,17.7,5.1,4.2,2.8
2026-05,69.4,16.5,4.8,4.4,4.9
2026-06,68.6,16.9,5.1,4.6,4.8
2026-07,70.2,17.3,4.8,4.2,3.5
2026-08,69.4,17.7,5.1,4.4,3.4
