Thoi_Gian,Drewry_WCI_Global_Composite_USD_FEU,Cuoc_Tuyen_A_Au_USD_FEU,Cuoc_Tuyen_A_My_USD_FEU,GSO_PPI_Van_Tai_Kho_Bai_YoY_pct
2025-01,3820,4393.0,5157.0,4.2
2025-02,3750,4312.5,5062.5,4.6
2025-03,3610,4151.5,4873.5,5.0
2025-04,3420,3933.0,4617.0,4.2
2025-05,4250,4887.5,5737.5,4.6
2025-06,5320,6118.0,7182.0,5.0
2025-07,5890,6773.5,7951.5,4.2
2025-08,5410,6221.5,7303.5,4.6
2025-09,4820,5543.0,6507.0,5.0
2025-10,4210,4841.5,5683.5,4.2
2025-11,3950,4542.5,5332.5,4.6
2025-12,3680,4232.0,4968.0,5.0
2026-01,3540,4071.0,4779.0,4.2
2026-02,3480,4002.0,4698.0,4.6
2026-03,3390,3898.5,4576.5,5.0
2026-04,3460,3979.0,4671.0,4.2
2026-05,4120,4738.0,5562.0,4.6
2026-06,4980,5727.0,6723.0,5.0
2026-07,4650,5347.5,6277.5,4.2
2026-08,4230,4864.5,5710.5,4.6
