Thoi_Gian,GPR_Index_Benchmark,GPR_Threats_Index,GPR_Acts_Index,Risk_Regime
2025-01,138.4,149.47,127.33,Moderate Risk
2025-02,134.2,144.94,123.46,Moderate Risk
2025-03,142.1,153.47,130.73,Moderate Risk
2025-04,145.6,157.25,133.95,High Risk
2025-05,139.8,150.98,128.62,Moderate Risk
2025-06,148.2,160.06,136.34,High Risk
2025-07,143.5,154.98,132.02,Moderate Risk
2025-08,146.1,157.79,134.41,High Risk
2025-09,141.2,152.5,129.9,Moderate Risk
2025-10,144.5,156.06,132.94,Moderate Risk
2025-11,149.3,161.24,137.36,High Risk
2025-12,152.1,164.27,139.93,High Risk
2026-01,147.6,159.41,135.79,High Risk
2026-02,142.8,154.22,131.38,Moderate Risk
2026-03,149.5,161.46,137.54,High Risk
2026-04,153.2,165.46,140.94,High Risk
2026-05,150.1,162.11,138.09,High Risk
2026-06,155.8,168.26,143.34,High Risk
2026-07,152.4,164.59,140.21,High Risk
2026-08,156.9,169.45,144.35,High Risk
