Thoi_Gian,Kieu_Hoi_Uoc_Tinh_Ca_Nuoc_Mil_USD,Kieu_Hoi_TPHCM_Mil_USD,Ty_Trong_Kieu_Hoi_TPHCM_pct,Ty_Trong_Kieu_Hoi_So_Voi_GDP_pct,Toc_Do_Tang_Cung_Ky_YoY_pct
2025-01,1310,766.3,58.5,3.45,4.8
2025-02,1250,737.5,59.0,3.5,4.9
2025-03,1340,797.3,59.5,3.45,5.0
2025-04,1290,754.6,58.5,3.5,5.1
2025-05,1320,778.8,59.0,3.45,5.2
2025-06,1380,821.1,59.5,3.5,5.3
2025-07,1350,789.8,58.5,3.45,5.4
2025-08,1370,808.3,59.0,3.5,5.5
2025-09,1410,838.9,59.5,3.45,5.6
2025-10,1420,830.7,58.5,3.5,5.7
2025-11,1450,855.5,59.0,3.45,5.8
2025-12,1510,898.4,59.5,3.5,5.9
2026-01,1330,778.0,58.5,3.45,6.0
2026-02,1270,749.3,59.0,3.5,6.1
2026-03,1360,809.2,59.5,3.45,6.2
2026-04,1310,766.3,58.5,3.5,6.3
2026-05,1340,790.6,59.0,3.45,6.4
2026-06,1410,838.9,59.5,3.5,6.5
2026-07,1370,801.4,58.5,3.45,6.6
2026-08,1400,826.0,59.0,3.5,6.7
