Thoi_Gian,Ty_Trong_Du_No_SME_pct_Tong_Du_No,Lai_Suat_Cho_Vay_Binh_Quan_SME_pct_nam,Ty_Le_Doanh_Nghiep_Tiep_Can_Tin_Dung_pct,Chi_So_Kha_Nang_Tiep_Can_Von_SME_Index
2025-01,24.5,8.2,68.5,56.2
2025-02,24.58,8.16,68.75,56.55
2025-03,24.66,8.12,69.0,56.9
2025-04,24.74,8.08,69.25,57.25
2025-05,24.82,8.04,69.5,57.6
2025-06,24.5,8.0,69.75,57.95
2025-07,24.58,7.96,70.0,58.3
2025-08,24.66,7.92,70.25,58.65
2025-09,24.74,7.88,70.5,59.0
2025-10,24.82,7.84,70.75,59.35
2025-11,24.5,7.8,71.0,59.7
2025-12,24.58,7.76,71.25,60.05
2026-01,24.66,7.72,71.5,60.4
2026-02,24.74,7.68,71.75,60.75
2026-03,24.82,7.64,72.0,61.1
2026-04,24.5,7.6,72.25,61.45
2026-05,24.58,7.56,72.5,61.8
2026-06,24.66,7.52,72.75,62.15
2026-07,24.74,7.48,73.0,62.5
2026-08,24.82,7.44,73.25,62.85
