Thoi_Gian,Tong_Du_No_Tin_Dung_Trieu_Ty_VND,Tang_Truong_YTD_pct,Tang_Truong_YoY_pct,Muc_Tieu_Dinh_Huong_NHNN_pct
2025-01,15.72,0.77,14.12,15.0
2025-02,15.85,1.6,14.25,15.0
2025-03,16.12,3.33,14.38,15.0
2025-04,16.35,4.81,14.52,15.0
2025-05,16.58,6.28,14.65,15.0
2025-06,16.92,8.46,14.8,15.0
2025-07,17.08,9.49,14.92,15.0
2025-08,17.25,10.58,15.05,15.0
2025-09,17.48,12.05,15.12,15.0
2025-10,17.65,13.14,15.18,15.0
2025-11,17.82,14.23,15.15,15.0
2025-12,17.95,15.08,15.08,15.0
2026-01,18.02,0.39,14.63,15.0
2026-02,18.15,1.11,14.51,15.0
2026-03,18.42,2.62,14.27,15.0
2026-04,18.61,3.68,13.82,15.0
2026-05,18.78,4.62,13.27,15.0
2026-06,18.98,5.74,12.17,15.0
2026-07,19.05,6.13,11.53,15.0
2026-08,19.14,6.63,10.96,15.0
