Thoi_Gian,Tin_Dung_Nong_Lam_Thuy_San_pct,Tin_Dung_Cong_Nghiep_Xay_Dung_pct,Tin_Dung_Thuong_Mai_Dich_Vu_pct,Tin_Dung_Bat_Dong_San_pct,Tin_Dung_Linh_Vuc_Uu_Tien_pct
2025-01,8.45,26.2,65.35,21.4,24.8
2025-02,8.43,26.3,65.27,21.45,24.95
2025-03,8.41,26.4,65.19,21.5,25.1
2025-04,8.39,26.5,65.11,21.55,24.8
2025-05,8.37,26.2,65.43,21.6,24.95
2025-06,8.35,26.3,65.35,21.65,25.1
2025-07,8.33,26.4,65.27,21.7,24.8
2025-08,8.31,26.5,65.19,21.75,24.95
2025-09,8.29,26.2,65.51,21.8,25.1
2025-10,8.27,26.3,65.43,21.85,24.8
2025-11,8.25,26.4,65.35,21.9,24.95
2025-12,8.23,26.5,65.27,21.95,25.1
2026-01,8.21,26.2,65.59,22.0,24.8
2026-02,8.19,26.3,65.51,22.05,24.95
2026-03,8.17,26.4,65.43,22.1,25.1
2026-04,8.15,26.5,65.35,22.15,24.8
2026-05,8.13,26.2,65.67,22.2,24.95
2026-06,8.11,26.3,65.59,22.25,25.1
2026-07,8.09,26.4,65.51,22.3,24.8
2026-08,8.07,26.5,65.43,22.35,24.95
